(10, 498.163)
(11, 529.294)
(12, 567.454)
(13, 602.935)
(14, 636.141)
(15, 663.465)
(16, 698.653)
(17, 729.822)
(18, 761.254)
(19, 791.245)
(20, 820.02)
(21, 851.756)
(1, 105.921)
(1, 106.965)
(2, 157.628)
(3, 209.061)
(4, 261.53)
(5, 301.341)
(6, 345.079)
(7, 385.375)
(8, 424.635)
(9, 466.664)
(10, 499.855)
(11, 523.557)
(12, 565.995)
(13, 601.025)
(14, 638.291)
(15, 665.562)
(16, 698.922)
(17, 740.082)
(18, 753.83)
(19, 796.18)
(20, 815.268)
(21, 848.842)
(22, 887.236)
(1, 105.827)
(2, 155.254)
(3, 212.505)
(4, 254.877)
(5, 299.379)
(6, 345.257)
(7, 384.694)
(8, 434.088)
(9, 461.749)
(10, 491.909)
(11, 532.294)
(12, 568.476)
(13, 604.056)
(14, 634.928)
(15, 657.895)
(16, 698.335)
(17, 737.931)
(18, 759.988)
(19, 784.269)
(20, 810.214)
(21, 848.883)
(22, 872.64)
