(1, 52.6748)
(2, 46.1197)
(1, 51.6802)
(2, 87.3155)
(3, 39.7898)
(1, 51.0585)
(2, 91.1743)
(3, 35.9347)
(4, 36.3536)
(1, 31.565)
(2, 96.8249)
(3, 77.5642)
(4, 35.558)
(5, 35.7466)
(1, 28.6256)
(2, 81.9356)
(3, 117.086)
(4, 37.2582)
(5, 36.2104)
(6, 37.9864)
(1, 29.1281)
(2, 81.2195)
(3, 118.404)
(4, 28.5414)
(5, 28.1114)
(6, 27.6644)
(7, 27.9218)
(1, 29.5473)
(2, 81.4991)
(3, 112.479)
(4, 62.9887)
(5, 29.5924)
(6, 28.1631)
(7, 28.5481)
(8, 27.4246)
(1, 30.1124)
(2, 80.5069)
(3, 107.49)
(4, 83.2982)
(5, 27.2472)
(6, 27.7679)
(7, 27.9485)
(8, 28.5351)
(9, 29.4854)
(1, 28.7518)
(2, 83.2989)
(3, 93.2864)
(4, 125.339)
(5, 26.9636)
(6, 27.688)
(7, 28.0367)
(8, 28.8088)
(9, 28.8558)
(10, 28.1445)
(1, 28.5959)
(2, 81.283)
(3, 92.6236)
(4, 123.72)
(5, 18.5253)
(6, 18.5661)
(7, 17.6605)
(8, 18.2953)
(9, 18.5619)
(10, 17.8127)
(11, 16.9024)
(1, 28.4655)
(2, 79.9344)
(3, 91.3751)
(4, 118.206)
(5, 45.5593)
(6, 18.4616)
(7, 16.9084)
(8, 17.6596)
(9, 18.0288)
(10, 17.9235)
(11, 17.5662)
(12, 17.7482)
(1, 29.0872)
(2, 82.0433)
(3, 93.1452)
(4, 116.984)
(5, 68.7115)
(6, 20.6906)
(7, 20.1368)
(8, 20.0427)
(9, 19.291)
(10, 18.312)
(11, 19.0005)
(12, 20.2449)
(13, 19.801)
(1, 27.8627)
(2, 83.6321)
(3, 94.6262)
(4, 116.998)
(5, 85.1673)
(6, 19.0249)
(7, 19.2395)
(8, 19.5739)
(9, 19.5264)
(10, 19.264)
(11, 19.6923)
(12, 19.3309)
(13, 19.5955)
(14, 20.0682)
(1, 28.9848)
(2, 52.0498)
(3, 117.262)
(4, 106.211)
(5, 118.858)
(6, 19.0636)
(7, 19.5849)
(8, 19.6478)
(9, 17.7015)
(10, 19.6988)
(11, 19.0793)
(12, 19.141)
(13, 19.9342)
(14, 20.2854)
(15, 20.4545)
(1, 28.8257)
(2, 80.0978)
(3, 84.9441)
(4, 107.665)
(5, 118.095)
(6, 18.9854)
(7, 19.6168)
(8, 19.3515)
(9, 19.651)
(10, 19.3075)
(11, 19.0988)
(12, 20.2332)
(13, 20.1265)
(14, 18.5987)
(15, 19.4092)
(16, 20.0273)
(1, 28.7933)
(2, 53.4179)
(3, 116.58)
