(1, 30.5645)
(2, 57.9903)
(3, 87.0416)
(4, 112.438)
(5, 135.794)
(6, 159.576)
(7, 181.11)
(8, 200.641)
(9, 217.026)
(10, 239.412)
(11, 256.405)
(12, 274.126)
(13, 291.468)
(14, 308.512)
(15, 323.645)
(16, 339.667)
(17, 353.131)
(18, 368.49)
(19, 385.391)
(20, 401.107)
(21, 415.435)
(22, 431.338)
(23, 445.168)
(24, 456.942)
(25, 472.353)
(26, 484.028)
(27, 497.97)
(28, 507.843)
(29, 524.391)
(30, 534.622)
(31, 547.514)
(32, 559.196)
(33, 570.57)
(34, 582.522)
(35, 593.385)
(36, 604.167)
(37, 614.355)
(38, 625.452)
(39, 637.144)
(40, 646.51)
(41, 655.762)
(42, 667.379)
(43, 674.987)
(44, 684.448)
(45, 697.289)
(46, 706.218)
(47, 713.369)
(48, 724.839)
(49, 732.414)
(50, 743.755)
(50, 72.5349)
