K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
10,2,0,10.0,4.0,1,0,0,0.823076923
10,2,0,10.0,4.0,1,0,1,0.823076923
10,2,0,10.0,4.0,1,0,2,1.0
10,2,0,10.0,4.0,1,1,0,0.823076923
10,2,0,10.0,4.0,1,1,1,0.823076923
10,2,0,10.0,4.0,1,1,2,0.823076923
20,5,0,10.0,4.0,1,0,0,0.775462963
20,5,0,10.0,4.0,1,0,1,0.775462963
20,5,0,10.0,4.0,1,0,2,1.0
20,5,0,10.0,4.0,1,0,3,1.0
20,5,0,10.0,4.0,1,0,4,1.0
20,5,0,10.0,4.0,1,0,5,1.0
20,5,0,10.0,4.0,1,1,0,0.775462963
20,5,0,10.0,4.0,1,1,1,0.775462963
20,5,0,10.0,4.0,1,1,2,0.775462963
20,5,0,10.0,4.0,1,1,3,0.775462963
20,5,0,10.0,4.0,1,1,4,0.775462963
20,5,0,10.0,4.0,1,1,5,0.775462963
30,7,0,10.0,4.0,1,0,0,0.780452675
30,7,0,10.0,4.0,1,0,1,0.780452675
30,7,0,10.0,4.0,1,0,2,1.0
30,7,0,10.0,4.0,1,0,3,1.0
30,7,0,10.0,4.0,1,0,4,1.0
30,7,0,10.0,4.0,1,0,5,1.0
30,7,0,10.0,4.0,1,0,6,1.0
30,7,0,10.0,4.0,1,0,7,1.0
30,7,0,10.0,4.0,1,1,0,0.780452675
30,7,0,10.0,4.0,1,1,1,0.780452675
30,7,0,10.0,4.0,1,1,2,0.780452675
30,7,0,10.0,4.0,1,1,3,0.780452675
30,7,0,10.0,4.0,1,1,4,0.780452675
30,7,0,10.0,4.0,1,1,5,0.780452675
30,7,0,10.0,4.0,1,1,6,0.780452675
30,7,0,10.0,4.0,1,1,7,0.780452675
40,10,0,10.0,4.0,1,0,0,0.768348624
40,10,0,10.0,4.0,1,0,1,0.768348624
40,10,0,10.0,4.0,1,0,2,1.0
40,10,0,10.0,4.0,1,0,3,1.0
40,10,0,10.0,4.0,1,0,4,1.0
40,10,0,10.0,4.0,1,0,5,1.0
40,10,0,10.0,4.0,1,0,6,1.0
40,10,0,10.0,4.0,1,0,7,1.0
40,10,0,10.0,4.0,1,0,8,1.0
40,10,0,10.0,4.0,1,0,9,1.0
40,10,0,10.0,4.0,1,0,10,1.0
40,10,0,10.0,4.0,1,1,0,0.768348624
40,10,0,10.0,4.0,1,1,1,0.768348624
40,10,0,10.0,4.0,1,1,2,0.768348624
40,10,0,10.0,4.0,1,1,3,0.768348624
40,10,0,10.0,4.0,1,1,4,0.768348624
40,10,0,10.0,4.0,1,1,5,0.768348624
40,10,0,10.0,4.0,1,1,6,0.768348624
40,10,0,10.0,4.0,1,1,7,0.768348624
40,10,0,10.0,4.0,1,1,8,0.768348624
40,10,0,10.0,4.0,1,1,9,0.768348624
40,10,0,10.0,4.0,1,1,10,0.768348624
50,12,0,10.0,4.0,1,0,0,0.772647059
50,12,0,10.0,4.0,1,0,1,0.772647059
50,12,0,10.0,4.0,1,0,2,1.0
50,12,0,10.0,4.0,1,0,3,1.0
50,12,0,10.0,4.0,1,0,4,1.0
50,12,0,10.0,4.0,1,0,5,1.0
50,12,0,10.0,4.0,1,0,6,1.0
50,12,0,10.0,4.0,1,0,7,1.0
50,12,0,10.0,4.0,1,0,8,1.0
50,12,0,10.0,4.0,1,0,9,1.0
50,12,0,10.0,4.0,1,0,10,1.0
50,12,0,10.0,4.0,1,0,11,1.0
50,12,0,10.0,4.0,1,0,12,1.0
50,12,0,10.0,4.0,1,1,0,0.772647059
50,12,0,10.0,4.0,1,1,1,0.772647059
50,12,0,10.0,4.0,1,1,2,0.772647059
50,12,0,10.0,4.0,1,1,3,0.772647059
50,12,0,10.0,4.0,1,1,4,0.772647059
50,12,0,10.0,4.0,1,1,5,0.772647059
50,12,0,10.0,4.0,1,1,6,0.772647059
50,12,0,10.0,4.0,1,1,7,0.772647059
50,12,0,10.0,4.0,1,1,8,0.772647059
50,12,0,10.0,4.0,1,1,9,0.772647059
50,12,0,10.0,4.0,1,1,10,0.772647059
50,12,0,10.0,4.0,1,1,11,0.772647059
50,12,0,10.0,4.0,1,1,12,0.772647059
60,15,0,10.0,4.0,1,0,0,0.766006098
60,15,0,10.0,4.0,1,0,1,0.766006098
60,15,0,10.0,4.0,1,0,2,1.0
60,15,0,10.0,4.0,1,0,3,1.0
60,15,0,10.0,4.0,1,0,4,1.0
60,15,0,10.0,4.0,1,0,5,1.0
60,15,0,10.0,4.0,1,0,6,1.0
60,15,0,10.0,4.0,1,0,7,1.0
60,15,0,10.0,4.0,1,0,8,1.0
60,15,0,10.0,4.0,1,0,9,1.0
60,15,0,10.0,4.0,1,0,10,1.0
60,15,0,10.0,4.0,1,0,11,1.0
60,15,0,10.0,4.0,1,0,12,1.0
60,15,0,10.0,4.0,1,0,13,1.0
60,15,0,10.0,4.0,1,0,14,1.0
60,15,0,10.0,4.0,1,0,15,1.0
60,15,0,10.0,4.0,1,1,0,0.766006098
60,15,0,10.0,4.0,1,1,1,0.766006098
60,15,0,10.0,4.0,1,1,2,0.766006098
60,15,0,10.0,4.0,1,1,3,0.766006098
60,15,0,10.0,4.0,1,1,4,0.766006098
60,15,0,10.0,4.0,1,1,5,0.766006098
60,15,0,10.0,4.0,1,1,6,0.766006098
60,15,0,10.0,4.0,1,1,7,0.766006098
60,15,0,10.0,4.0,1,1,8,0.766006098
60,15,0,10.0,4.0,1,1,9,0.766006098
60,15,0,10.0,4.0,1,1,10,0.766006098
60,15,0,10.0,4.0,1,1,11,0.766006098
60,15,0,10.0,4.0,1,1,12,0.766006098
