K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
10,2,0,10.0,10.0,1,0,0,0.8
10,2,0,10.0,10.0,1,0,1,0.8
10,2,0,10.0,10.0,1,0,2,0.8
10,2,0,10.0,10.0,1,1,0,0.8
10,2,0,10.0,10.0,1,1,1,0.8
10,2,0,10.0,10.0,1,1,2,0.8
20,5,0,10.0,10.0,1,0,0,0.729166667
20,5,0,10.0,10.0,1,0,1,0.729166667
20,5,0,10.0,10.0,1,0,2,1.0
20,5,0,10.0,10.0,1,0,3,1.0
20,5,0,10.0,10.0,1,0,4,1.0
20,5,0,10.0,10.0,1,0,5,1.0
20,5,0,10.0,10.0,1,1,0,0.729166667
20,5,0,10.0,10.0,1,1,1,0.729166667
20,5,0,10.0,10.0,1,1,2,0.729166667
20,5,0,10.0,10.0,1,1,3,0.729166667
20,5,0,10.0,10.0,1,1,4,0.729166667
20,5,0,10.0,10.0,1,1,5,0.729166667
30,7,0,10.0,10.0,1,0,0,0.72962963
30,7,0,10.0,10.0,1,0,1,0.72962963
30,7,0,10.0,10.0,1,0,2,0.72962963
30,7,0,10.0,10.0,1,0,3,1.0
30,7,0,10.0,10.0,1,0,4,1.0
30,7,0,10.0,10.0,1,0,5,1.0
30,7,0,10.0,10.0,1,0,6,1.0
30,7,0,10.0,10.0,1,0,7,1.0
30,7,0,10.0,10.0,1,1,0,0.72962963
30,7,0,10.0,10.0,1,1,1,0.72962963
30,7,0,10.0,10.0,1,1,2,0.72962963
30,7,0,10.0,10.0,1,1,3,0.72962963
30,7,0,10.0,10.0,1,1,4,0.72962963
30,7,0,10.0,10.0,1,1,5,0.72962963
30,7,0,10.0,10.0,1,1,6,0.72962963
30,7,0,10.0,10.0,1,1,7,0.72962963
40,10,0,10.0,10.0,1,0,0,0.714285714
40,10,0,10.0,10.0,1,0,1,0.714285714
40,10,0,10.0,10.0,1,0,2,1.0
40,10,0,10.0,10.0,1,0,3,1.0
40,10,0,10.0,10.0,1,0,4,1.0
40,10,0,10.0,10.0,1,0,5,1.0
40,10,0,10.0,10.0,1,0,6,1.0
40,10,0,10.0,10.0,1,0,7,1.0
40,10,0,10.0,10.0,1,0,8,1.0
40,10,0,10.0,10.0,1,0,9,1.0
40,10,0,10.0,10.0,1,0,10,1.0
40,10,0,10.0,10.0,1,1,0,0.714285714
40,10,0,10.0,10.0,1,1,1,0.714285714
40,10,0,10.0,10.0,1,1,2,0.714285714
40,10,0,10.0,10.0,1,1,3,0.714285714
40,10,0,10.0,10.0,1,1,4,0.714285714
40,10,0,10.0,10.0,1,1,5,0.714285714
40,10,0,10.0,10.0,1,1,6,0.714285714
40,10,0,10.0,10.0,1,1,7,0.714285714
40,10,0,10.0,10.0,1,1,8,0.714285714
40,10,0,10.0,10.0,1,1,9,0.714285714
40,10,0,10.0,10.0,1,1,10,0.714285714
50,12,0,10.0,10.0,1,0,0,0.717377049
50,12,0,10.0,10.0,1,0,1,0.717377049
50,12,0,10.0,10.0,1,0,2,0.717377049
50,12,0,10.0,10.0,1,0,3,1.0
50,12,0,10.0,10.0,1,0,4,1.0
50,12,0,10.0,10.0,1,0,5,1.0
50,12,0,10.0,10.0,1,0,6,1.0
50,12,0,10.0,10.0,1,0,7,1.0
50,12,0,10.0,10.0,1,0,8,1.0
50,12,0,10.0,10.0,1,0,9,1.0
50,12,0,10.0,10.0,1,0,10,1.0
