K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
10,2,0,10.0,0.0,1,0,0,1.0
10,2,0,10.0,0.0,1,0,1,1.0
10,2,0,10.0,0.0,1,0,2,1.0
10,2,0,10.0,0.0,1,1,0,1.0
10,2,0,10.0,0.0,1,1,1,1.0
10,2,0,10.0,0.0,1,1,2,1.0
20,5,0,10.0,0.0,1,0,0,1.0
20,5,0,10.0,0.0,1,0,1,1.0
20,5,0,10.0,0.0,1,0,2,1.0
20,5,0,10.0,0.0,1,0,3,1.0
20,5,0,10.0,0.0,1,0,4,1.0
20,5,0,10.0,0.0,1,0,5,1.0
20,5,0,10.0,0.0,1,1,0,1.0
20,5,0,10.0,0.0,1,1,1,1.0
20,5,0,10.0,0.0,1,1,2,1.0
20,5,0,10.0,0.0,1,1,3,1.0
20,5,0,10.0,0.0,1,1,4,1.0
20,5,0,10.0,0.0,1,1,5,1.0
30,7,0,10.0,0.0,1,0,0,1.0
30,7,0,10.0,0.0,1,0,1,1.0
30,7,0,10.0,0.0,1,0,2,1.0
30,7,0,10.0,0.0,1,0,3,1.0
30,7,0,10.0,0.0,1,0,4,1.0
30,7,0,10.0,0.0,1,0,5,1.0
30,7,0,10.0,0.0,1,0,6,1.0
30,7,0,10.0,0.0,1,0,7,1.0
30,7,0,10.0,0.0,1,1,0,1.0
30,7,0,10.0,0.0,1,1,1,1.0
30,7,0,10.0,0.0,1,1,2,1.0
30,7,0,10.0,0.0,1,1,3,1.0
30,7,0,10.0,0.0,1,1,4,1.0
30,7,0,10.0,0.0,1,1,5,1.0
30,7,0,10.0,0.0,1,1,6,1.0
30,7,0,10.0,0.0,1,1,7,1.0
40,10,0,10.0,0.0,1,0,0,1.0
40,10,0,10.0,0.0,1,0,1,1.0
40,10,0,10.0,0.0,1,0,2,1.0
40,10,0,10.0,0.0,1,0,3,1.0
40,10,0,10.0,0.0,1,0,4,1.0
40,10,0,10.0,0.0,1,0,5,1.0
40,10,0,10.0,0.0,1,0,6,1.0
40,10,0,10.0,0.0,1,0,7,1.0
40,10,0,10.0,0.0,1,0,8,1.0
40,10,0,10.0,0.0,1,0,9,1.0
40,10,0,10.0,0.0,1,0,10,1.0
40,10,0,10.0,0.0,1,1,0,1.0
40,10,0,10.0,0.0,1,1,1,1.0
40,10,0,10.0,0.0,1,1,2,1.0
40,10,0,10.0,0.0,1,1,3,1.0
40,10,0,10.0,0.0,1,1,4,1.0
40,10,0,10.0,0.0,1,1,5,1.0
40,10,0,10.0,0.0,1,1,6,1.0
40,10,0,10.0,0.0,1,1,7,1.0
40,10,0,10.0,0.0,1,1,8,1.0
40,10,0,10.0,0.0,1,1,9,1.0
40,10,0,10.0,0.0,1,1,10,1.0
50,12,0,10.0,0.0,1,0,0,1.0
50,12,0,10.0,0.0,1,0,1,1.0
50,12,0,10.0,0.0,1,0,2,1.0
50,12,0,10.0,0.0,1,0,3,1.0
50,12,0,10.0,0.0,1,0,4,1.0
50,12,0,10.0,0.0,1,0,5,1.0
50,12,0,10.0,0.0,1,0,6,1.0
50,12,0,10.0,0.0,1,0,7,1.0
50,12,0,10.0,0.0,1,0,8,1.0
50,12,0,10.0,0.0,1,0,9,1.0
50,12,0,10.0,0.0,1,0,10,1.0
50,12,0,10.0,0.0,1,0,11,1.0
50,12,0,10.0,0.0,1,0,12,1.0
50,12,0,10.0,0.0,1,1,0,1.0
50,12,0,10.0,0.0,1,1,1,1.0
50,12,0,10.0,0.0,1,1,2,1.0
50,12,0,10.0,0.0,1,1,3,1.0
50,12,0,10.0,0.0,1,1,4,1.0
50,12,0,10.0,0.0,1,1,5,1.0
50,12,0,10.0,0.0,1,1,6,1.0
50,12,0,10.0,0.0,1,1,7,1.0
50,12,0,10.0,0.0,1,1,8,1.0
50,12,0,10.0,0.0,1,1,9,1.0
50,12,0,10.0,0.0,1,1,10,1.0
50,12,0,10.0,0.0,1,1,11,1.0
50,12,0,10.0,0.0,1,1,12,1.0
60,15,0,10.0,0.0,1,0,0,1.0
60,15,0,10.0,0.0,1,0,1,1.0
60,15,0,10.0,0.0,1,0,2,1.0
60,15,0,10.0,0.0,1,0,3,1.0
60,15,0,10.0,0.0,1,0,4,1.0
60,15,0,10.0,0.0,1,0,5,1.0
60,15,0,10.0,0.0,1,0,6,1.0
60,15,0,10.0,0.0,1,0,7,1.0
60,15,0,10.0,0.0,1,0,8,1.0
60,15,0,10.0,0.0,1,0,9,1.0
60,15,0,10.0,0.0,1,0,10,1.0
60,15,0,10.0,0.0,1,0,11,1.0
60,15,0,10.0,0.0,1,0,12,1.0
60,15,0,10.0,0.0,1,0,13,1.0
60,15,0,10.0,0.0,1,0,14,1.0
60,15,0,10.0,0.0,1,0,15,1.0
60,15,0,10.0,0.0,1,1,0,1.0
60,15,0,10.0,0.0,1,1,1,1.0
60,15,0,10.0,0.0,1,1,2,1.0
60,15,0,10.0,0.0,1,1,3,1.0
60,15,0,10.0,0.0,1,1,4,1.0
60,15,0,10.0,0.0,1,1,5,1.0
60,15,0,10.0,0.0,1,1,6,1.0
60,15,0,10.0,0.0,1,1,7,1.0
60,15,0,10.0,0.0,1,1,8,1.0
60,15,0,10.0,0.0,1,1,9,1.0
60,15,0,10.0,0.0,1,1,10,1.0
60,15,0,10.0,0.0,1,1,11,1.0
60,15,0,10.0,0.0,1,1,12,1.0
60,15,0,10.0,0.0,1,1,13,1.0
60,15,0,10.0,0.0,1,1,14,1.0
60,15,0,10.0,0.0,1,1,15,1.0
70,17,0,10.0,0.0,1,0,0,1.0
70,17,0,10.0,0.0,1,0,1,1.0
70,17,0,10.0,0.0,1,0,2,1.0
70,17,0,10.0,0.0,1,0,3,1.0
70,17,0,10.0,0.0,1,0,4,1.0
70,17,0,10.0,0.0,1,0,5,1.0
70,17,0,10.0,0.0,1,0,6,1.0
70,17,0,10.0,0.0,1,0,7,1.0
70,17,0,10.0,0.0,1,0,8,1.0
70,17,0,10.0,0.0,1,0,9,1.0
70,17,0,10.0,0.0,1,0,10,1.0
70,17,0,10.0,0.0,1,0,11,1.0
70,17,0,10.0,0.0,1,0,12,1.0
70,17,0,10.0,0.0,1,0,13,1.0
70,17,0,10.0,0.0,1,0,14,1.0
70,17,0,10.0,0.0,1,0,15,1.0
70,17,0,10.0,0.0,1,0,16,1.0
