K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
10,2,0,10.0,1.0,1,0,0,0.835643564
10,2,0,10.0,1.0,1,0,1,1.0
10,2,0,10.0,1.0,1,0,2,1.0
10,2,0,10.0,1.0,1,1,0,0.835643564
10,2,0,10.0,1.0,1,1,1,1.0
10,2,0,10.0,1.0,1,1,2,0.99009901
20,5,0,10.0,1.0,1,0,0,0.802696078
20,5,0,10.0,1.0,1,0,1,1.0
20,5,0,10.0,1.0,1,0,2,1.0
20,5,0,10.0,1.0,1,0,3,1.0
20,5,0,10.0,1.0,1,0,4,1.0
20,5,0,10.0,1.0,1,0,5,1.0
20,5,0,10.0,1.0,1,1,0,0.802696078
20,5,0,10.0,1.0,1,1,1,1.0
20,5,0,10.0,1.0,1,1,2,0.995098039
20,5,0,10.0,1.0,1,1,3,0.990196078
20,5,0,10.0,1.0,1,1,4,0.985294118
20,5,0,10.0,1.0,1,1,5,0.980392157
30,7,0,10.0,1.0,1,0,0,0.810348584
30,7,0,10.0,1.0,1,0,1,1.0
30,7,0,10.0,1.0,1,0,2,1.0
30,7,0,10.0,1.0,1,0,3,1.0
30,7,0,10.0,1.0,1,0,4,1.0
30,7,0,10.0,1.0,1,0,5,1.0
30,7,0,10.0,1.0,1,0,6,1.0
30,7,0,10.0,1.0,1,0,7,1.0
30,7,0,10.0,1.0,1,1,0,0.810348584
30,7,0,10.0,1.0,1,1,1,1.0
30,7,0,10.0,1.0,1,1,2,0.996732026
30,7,0,10.0,1.0,1,1,3,0.993464052
30,7,0,10.0,1.0,1,1,4,0.990196078
30,7,0,10.0,1.0,1,1,5,0.986928105
30,7,0,10.0,1.0,1,1,6,0.983660131
30,7,0,10.0,1.0,1,1,7,0.980392157
40,10,0,10.0,1.0,1,0,0,0.800733496
40,10,0,10.0,1.0,1,0,1,1.0
40,10,0,10.0,1.0,1,0,2,1.0
40,10,0,10.0,1.0,1,0,3,1.0
40,10,0,10.0,1.0,1,0,4,1.0
40,10,0,10.0,1.0,1,0,5,1.0
40,10,0,10.0,1.0,1,0,6,1.0
40,10,0,10.0,1.0,1,0,7,1.0
40,10,0,10.0,1.0,1,0,8,1.0
40,10,0,10.0,1.0,1,0,9,1.0
40,10,0,10.0,1.0,1,0,10,1.0
40,10,0,10.0,1.0,1,1,0,0.800733496
40,10,0,10.0,1.0,1,1,1,1.0
40,10,0,10.0,1.0,1,1,2,0.997555012
40,10,0,10.0,1.0,1,1,3,0.995110024
40,10,0,10.0,1.0,1,1,4,0.992665037
40,10,0,10.0,1.0,1,1,5,0.990220049
40,10,0,10.0,1.0,1,1,6,0.987775061
40,10,0,10.0,1.0,1,1,7,0.985330073
40,10,0,10.0,1.0,1,1,8,0.982885086
40,10,0,10.0,1.0,1,1,9,0.980440098
40,10,0,10.0,1.0,1,1,10,0.97799511
50,12,0,10.0,1.0,1,0,0,0.805636008
50,12,0,10.0,1.0,1,0,1,1.0
50,12,0,10.0,1.0,1,0,2,1.0
