K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
10,2,0,10.0,5.0,1,0,0,0.819047619
10,2,0,10.0,5.0,1,0,1,0.819047619
10,2,0,10.0,5.0,1,0,2,1.0
10,2,0,10.0,5.0,1,1,0,0.819047619
10,2,0,10.0,5.0,1,1,1,0.819047619
10,2,0,10.0,5.0,1,1,2,0.819047619
20,5,0,10.0,5.0,1,0,0,0.767045455
20,5,0,10.0,5.0,1,0,1,0.767045455
20,5,0,10.0,5.0,1,0,2,1.0
20,5,0,10.0,5.0,1,0,3,1.0
20,5,0,10.0,5.0,1,0,4,1.0
20,5,0,10.0,5.0,1,0,5,1.0
20,5,0,10.0,5.0,1,1,0,0.767045455
20,5,0,10.0,5.0,1,1,1,0.767045455
20,5,0,10.0,5.0,1,1,2,0.767045455
20,5,0,10.0,5.0,1,1,3,0.767045455
20,5,0,10.0,5.0,1,1,4,0.767045455
20,5,0,10.0,5.0,1,1,5,0.767045455
30,7,0,10.0,5.0,1,0,0,0.771212121
30,7,0,10.0,5.0,1,0,1,0.771212121
30,7,0,10.0,5.0,1,0,2,1.0
30,7,0,10.0,5.0,1,0,3,1.0
30,7,0,10.0,5.0,1,0,4,1.0
30,7,0,10.0,5.0,1,0,5,1.0
30,7,0,10.0,5.0,1,0,6,1.0
30,7,0,10.0,5.0,1,0,7,1.0
30,7,0,10.0,5.0,1,1,0,0.771212121
30,7,0,10.0,5.0,1,1,1,0.771212121
30,7,0,10.0,5.0,1,1,2,0.771212121
30,7,0,10.0,5.0,1,1,3,0.771212121
30,7,0,10.0,5.0,1,1,4,0.771212121
30,7,0,10.0,5.0,1,1,5,0.771212121
30,7,0,10.0,5.0,1,1,6,0.771212121
30,7,0,10.0,5.0,1,1,7,0.771212121
40,10,0,10.0,5.0,1,0,0,0.758426966
40,10,0,10.0,5.0,1,0,1,0.758426966
40,10,0,10.0,5.0,1,0,2,1.0
40,10,0,10.0,5.0,1,0,3,1.0
40,10,0,10.0,5.0,1,0,4,1.0
40,10,0,10.0,5.0,1,0,5,1.0
40,10,0,10.0,5.0,1,0,6,1.0
40,10,0,10.0,5.0,1,0,7,1.0
40,10,0,10.0,5.0,1,0,8,1.0
40,10,0,10.0,5.0,1,0,9,1.0
40,10,0,10.0,5.0,1,0,10,1.0
40,10,0,10.0,5.0,1,1,0,0.758426966
40,10,0,10.0,5.0,1,1,1,0.758426966
40,10,0,10.0,5.0,1,1,2,0.758426966
40,10,0,10.0,5.0,1,1,3,0.758426966
40,10,0,10.0,5.0,1,1,4,0.758426966
40,10,0,10.0,5.0,1,1,5,0.758426966
40,10,0,10.0,5.0,1,1,6,0.758426966
40,10,0,10.0,5.0,1,1,7,0.758426966
40,10,0,10.0,5.0,1,1,8,0.758426966
40,10,0,10.0,5.0,1,1,9,0.758426966
